,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,type
6351,7.6,0.33,0.36,2.1,0.034,26,172,0.9944,3.42,0.48,10.5,"Ouch, my palate",white
6350,7.9,0.16,0.3,4.8,0.037,37,171,0.9967,3.47,0.44,9,"Ouch, my palate",white
6349,6.1,0.6,0,1.3,0.042,24,79,0.9937,3.31,0.38,9.4,"Ouch, my palate",white
6348,6.5,0.52,0.17,1.4,0.047,5,26,0.9932,3.26,0.32,10,"Ouch, my palate",white
6347,9.2,0.22,0.4,2.4,0.054,18,151,0.9952,3.04,0.46,9.3,"Ouch, my palate",white
6346,5.3,0.3,0.2,1.1,0.077,48,166,0.9944,3.3,0.54,8.7,"Ouch, my palate",white
6331,6.6,0.38,0.18,1.2,0.042,20,84,0.9927,3.22,0.45,10.1,"Ouch, my palate",white
6305,9.8,0.36,0.46,10.5,0.038,4,83,0.9956,2.89,0.3,10.1,"Ouch, my palate",white
6343,8.2,0.68,0.3,2.1,0.047,17,138,0.995,3.22,0.71,10.8,"Ouch, my palate",white
6342,6.3,0.6,0.44,11,0.05,50,245,0.9972,3.19,0.57,9.3,"Ouch, my palate",white
6341,8,0.55,0.17,8.2,0.04,13,60,0.9956,3.09,0.3,9.5,"Ouch, my palate",white
6340,7,0.24,0.18,1.3,0.046,9,62,0.994,3.38,0.47,10.1,"Ouch, my palate",white
6339,8.2,0.26,0.44,1.3,0.046,7,69,0.9944,3.14,0.62,10.2,"Ouch, my palate",white
6338,6.8,0.705,0.25,3.2,0.048,10,57,0.996,3.36,0.52,9.5,"Ouch, my palate",white
6337,8,0.32,0.26,1.2,0.05,11.5,88,0.9946,3.24,0.37,9.5,"Ouch, my palate",white
6336,8,0.23,0.37,9.6,0.054,23,159,0.99795,3.32,0.47,9.8,"Ouch, my palate",white
6335,8.3,0.27,0.45,1.3,0.048,8,72,0.9944,3.08,0.61,10.3,"Ouch, my palate",white
6334,8.4,0.19,0.42,1.6,0.047,9,101,0.994,3.06,0.65,11.1,"Ouch, my palate",white
6333,7.4,0.17,0.4,5.5,0.037,34,161,0.9935,3.05,0.62,11.5,"Ouch, my palate",white
6344,7.3,0.49,0.32,5.2,0.043,18,104,0.9952,3.24,0.45,10.7,"Ouch, my palate",white
6304,6.2,0.45,0.26,4.4,0.063,63,206,0.994,3.27,0.52,9.8,"Ouch, my palate",white
6258,9.2,0.52,1,3.4,0.61,32,69,0.9996,2.74,2,9.4,"Ouch, my palate",red
6302,6.8,0.91,0.06,2,0.06,4,11,0.99592,3.53,0.64,10.9,"Ouch, my palate",red
6275,7.5,1.115,0.1,3.1,0.086,5,12,0.9958,3.54,0.6,11.2,"Ouch, my palate",red
6276,6.9,0.39,0.24,2.1,0.102,4,7,0.99462,3.44,0.58,11.4,"Ouch, my palate",red
6277,7.5,0.685,0.07,2.5,0.058,5,9,0.99632,3.38,0.55,10.9,"Ouch, my palate",red
6278,11.6,0.47,0.44,1.6,0.147,36,51,0.99836,3.38,0.86,9.9,"Ouch, my palate",red
6279,7.3,0.35,0.24,2,0.067,28,48,0.99576,3.43,0.54,10,"Ouch, my palate",red
6280,7.1,0.47,0,2.2,0.067,7,14,0.99517,3.4,0.58,10.9,"Ouch, my palate",red
6281,8.4,0.67,0.19,2.2,0.093,11,75,0.99736,3.2,0.59,9.2,"Ouch, my palate",red
6282,12,0.63,0.5,1.4,0.071,6,26,0.99791,3.07,0.6,10.4,"Ouch, my palate",red
6283,6.5,0.58,0,2.2,0.096,3,13,0.99557,3.62,0.62,11.5,"Ouch, my palate",red
6284,6.5,0.88,0.03,5.6,0.079,23,47,0.99572,3.58,0.5,11.2,"Ouch, my palate",red
6285,8.8,0.955,0.05,1.8,0.075,5,19,0.99616,3.3,0.44,9.6,"Ouch, my palate",red
6286,10.2,0.23,0.37,2.2,0.057,14,36,0.99614,3.23,0.49,9.3,"Ouch, my palate",red
6287,6,0.33,0.32,12.9,0.054,6,113,0.99572,3.3,0.56,11.5,"Ouch, my palate",red
6288,8.1,0.73,0,2.5,0.081,12,24,0.99798,3.38,0.46,9.6,"Ouch, my palate",red
6289,6.5,0.67,0,4.3,0.057,11,20,0.99488,3.45,0.56,11.8,"Ouch, my palate",red
6290,6.3,1.02,0,2,0.083,17,24,0.99437,3.59,0.55,11.2,"Ouch, my palate",red
6291,8.2,0.78,0,2.2,0.089,13,26,0.9978,3.37,0.46,9.6,"Ouch, my palate",red
6292,8.5,0.4,0.4,6.3,0.05,3,10,0.99566,3.28,0.56,12,"Ouch, my palate",red
6293,7.5,0.755,0,1.9,0.084,6,12,0.99672,3.34,0.49,9.7,"Ouch, my palate",red
6294,6.8,0.68,0.09,3.9,0.068,15,29,0.99524,3.41,0.52,11.1,"Ouch, my palate",red
6295,8,0.83,0.27,2,0.08,11,63,0.99652,3.29,0.48,9.8,"Ouch, my palate",red
6296,6.6,0.61,0,1.6,0.069,4,8,0.99396,3.33,0.37,10.4,"Ouch, my palate",red
6297,6.4,0.53,0.09,3.9,0.123,14,31,0.9968,3.5,0.67,11,"Ouch, my palate",red
6274,9.1,0.765,0.04,1.6,0.078,4,14,0.998,3.29,0.54,9.7,"Ouch, my palate",red
6273,7.5,0.38,0.48,2.6,0.073,22,84,0.9972,3.32,0.7,9.6,"Ouch, my palate",red
6272,7.1,0.84,0.02,4.4,0.096,5,13,0.997,3.41,0.57,11,"Ouch, my palate",red
6271,8.3,0.845,0.01,2.2,0.07,5,14,0.9967,3.32,0.58,11,"Ouch, my palate",red
6301,7.2,0.58,0.54,2.1,0.114,3,9,0.99719,3.33,0.57,10.3,"Ouch, my palate",red
6300,5.6,0.62,0.03,1.5,0.08,6,13,0.99498,3.66,0.62,10.1,"Ouch, my palate",red
6299,6.7,1.04,0.08,2.3,0.067,19,32,0.99648,3.52,0.57,11,"Ouch, my palate",red
6298,6.2,0.785,0,2.1,0.06,6,13,0.99664,3.59,0.61,10,"Ouch, my palate",red
6251,7.4,0.59,0.08,4.4,0.086,6,29,0.9974,3.38,0.5,9,"Ouch, my palate",red
6252,5.7,1.13,0.09,1.5,0.172,7,19,0.994,3.5,0.48,9.8,"Ouch, my palate",red
6253,8.8,0.61,0.3,2.8,0.088,17,46,0.9976,3.26,0.51,9.3,"Ouch, my palate",red
6254,4.6,0.52,0.15,2.1,0.054,8,65,0.9934,3.9,0.56,13.1,"Ouch, my palate",red
6255,8.3,0.675,0.26,2.1,0.084,11,43,0.9976,3.31,0.53,9.2,"Ouch, my palate",red
6256,8.3,0.625,0.2,1.5,0.08,27,119,0.9972,3.16,1.12,9.1,"Ouch, my palate",red
6257,5,1.02,0.04,1.4,0.045,41,85,0.9938,3.75,0.48,10.5,"Ouch, my palate",red
6303,6.9,0.48,0.2,1.9,0.082,9,23,0.99585,3.39,0.43,9.05,"Ouch, my palate",red
6357,6.3,0.39,0.24,6.9,0.069,9,117,0.9942,3.15,0.35,10.2,"Ouch, my palate",white
6260,7.3,0.55,0.03,1.6,0.072,17,42,0.9956,3.37,0.48,9,"Ouch, my palate",red
6261,7.9,0.885,0.03,1.8,0.058,4,8,0.9972,3.36,0.33,9.1,"Ouch, my palate",red
6262,6.9,1.09,0.06,2.1,0.061,12,31,0.9948,3.51,0.43,11.4,"Ouch, my palate",red
6263,8.4,0.635,0.36,2,0.089,15,55,0.99745,3.31,0.57,10.4,"Ouch, my palate",red
6264,7,0.975,0.04,2,0.087,12,67,0.99565,3.35,0.6,9.4,"Ouch, my palate",red
6265,8.1,0.87,0,3.3,0.096,26,61,1.00025,3.6,0.72,9.8,"Ouch, my palate",red
6266,12.5,0.46,0.49,4.5,0.07,26,49,0.9981,3.05,0.57,9.6,"Ouch, my palate",red
6267,10.5,0.59,0.49,2.1,0.07,14,47,0.9991,3.3,0.56,9.6,"Ouch, my palate",red
6268,9.9,0.5,0.24,2.3,0.103,6,14,0.9978,3.34,0.52,10,"Ouch, my palate",red
6269,8.2,0.915,0.27,2.1,0.088,7,23,0.9962,3.26,0.47,10,"Ouch, my palate",red
6270,10.1,0.935,0.22,3.4,0.105,11,86,1.001,3.43,0.64,11.3,"Ouch, my palate",red
6259,7.6,0.68,0.02,1.3,0.072,9,20,0.9965,3.17,1.08,9.2,"Ouch, my palate",red
6358,9.2,0.28,0.49,11.8,0.042,29,137,0.998,3.1,0.34,10.1,"Ouch, my palate",white
6309,7.2,0.32,0.47,5.1,0.044,19,65,0.991,3.03,0.41,12.6,"Ouch, my palate",white
6360,7,0.39,0.24,1,0.048,8,119,0.9923,3,0.31,10.1,"Ouch, my palate",white
6438,7.4,0.27,0.31,2.4,0.014,15,143,0.99094,3.03,0.65,12,"Ouch, my palate",white
6437,6.5,0.32,0.48,8,0.026,18,88,0.99144,3.22,0.79,12.7,"Ouch, my palate",white
6436,8.5,0.18,0.3,1.1,0.028,34,95,0.99272,2.83,0.36,10,"Ouch, my palate",white
6435,6.1,0.6,0.12,1.8,0.05,11,76,0.99268,3.42,0.48,10.4,"Ouch, my palate",white
6434,6.9,0.19,0.6,4,0.037,6,122,0.99255,2.92,0.59,10.4,"Ouch, my palate",white
6433,6.7,0.22,0.22,1.2,0.038,5,124,0.99098,3.1,0.37,11.2,"Ouch, my palate",white
6432,5.9,0.655,0,5.6,0.033,8,31,0.9936,3.32,0.51,10.5,"Ouch, my palate",white
6431,7.5,0.34,0.24,3.85,0.031,5,34,0.99098,3.01,0.36,11.8,"Ouch, my palate",white
6430,6.9,0.75,0.13,6.3,0.036,19,50,0.99312,3.09,0.25,11.1,"Ouch, my palate",white
6429,6.7,0.64,0.3,1.2,0.03,18,76,0.9892,3.16,0.6,12.9,"Ouch, my palate",white
6428,6.5,0.48,0.02,0.9,0.043,32,99,0.99226,3.14,0.47,9.8,"Ouch, my palate",white
6427,6.5,0.29,0.25,2.5,0.142,8,111,0.9927,3,0.44,9.9,"Ouch, my palate",white
6426,8.7,0.3,0.59,1.7,0.046,10,70,0.99373,3.06,0.56,10.8,"Ouch, my palate",white
6425,8.5,0.2,0.4,1.1,0.046,31,106,0.99194,3,0.35,10.5,"Ouch, my palate",white
6424,6.9,0.3,0.36,4.5,0.054,31,203,0.99513,3.4,0.57,10.4,"Ouch, my palate",white
6423,7.3,0.28,0.42,1.2,0.033,29,142,0.99205,3.17,0.43,10.7,"Ouch, my palate",white
6422,6.2,0.255,0.24,1.7,0.039,138.5,272,0.99452,3.53,0.53,9.6,"Ouch, my palate",white
6421,6.8,0.27,0.29,4.6,0.046,6,88,0.99458,3.34,0.48,10.6,"Ouch, my palate",white
6420,7.1,0.27,0.28,1.25,0.023,3,89,0.98993,2.95,0.3,11.4,"Ouch, my palate",white
6419,7.4,0.28,0.4,11.9,0.032,13,92,0.99629,3.01,0.46,10.8,"Ouch, my palate",white
6418,8.5,0.22,0.34,0.7,0.04,5,25,0.9918,3.04,0.37,10.5,"Ouch, my palate",white
6417,6,0.11,0.47,10.6,0.052,69,148,0.9958,2.91,0.34,9.3,"Ouch, my palate",white
6416,7.1,0.23,0.24,5.4,0.039,60,196,0.9948,3.19,0.78,10,"Ouch, my palate",white
6439,7.3,0.36,0.54,13.3,0.054,63,193,0.99864,3.06,0.49,8.6,"Ouch, my palate",white
6440,6.8,0.73,0.2,6.6,0.054,25,65,0.99324,3.12,0.28,11.1,"Ouch, my palate",white
6441,4.8,0.65,0.12,1.1,0.013,4,10,0.99246,3.32,0.36,13.5,"Ouch, my palate",white
6442,8.7,0.31,0.21,5.6,0.039,28,67,0.99328,2.96,0.52,11,"Ouch, my palate",white
6359,9.8,0.25,0.74,10,0.056,36,225,0.9977,3.06,0.43,10,"Ouch, my palate",white
6466,6.2,0.53,0.02,0.9,0.035,6,81,0.99234,3.24,0.35,9.5,"Ouch, my palate",white
6465,5.2,0.405,0.15,1.45,0.038,10,44,0.99125,3.52,0.4,11.6,"Ouch, my palate",white
6464,6,0.35,0.46,0.9,0.033,9,65,0.98934,3.24,0.35,12.1,"Ouch, my palate",white
6463,6,0.59,0,0.8,0.037,30,95,0.99032,3.1,0.4,10.9,"Ouch, my palate",white
6462,7.1,0.24,0.34,1.2,0.045,6,132,0.99132,3.16,0.46,11.2,"Ouch, my palate",white
6461,6.8,0.63,0.04,1.3,0.058,25,133,0.99271,3.17,0.39,10.2,"Ouch, my palate",white
6460,6.8,0.63,0.04,1.3,0.058,25,133,0.99271,3.17,0.39,10.2,"Ouch, my palate",white
6459,6,0.615,0.04,0.8,0.032,8,50,0.99036,3.14,0.4,11,"Ouch, my palate",white
6458,5.8,0.26,0.3,2.6,0.034,75,129,0.9902,3.2,0.38,11.5,"Ouch, my palate",white
6457,5.8,0.28,0.18,1.2,0.058,7,108,0.99288,3.23,0.58,9.55,"Ouch, my palate",white
6415,7.2,0.615,0.1,1.4,0.068,25,154,0.99499,3.2,0.48,9.7,"Ouch, my palate",white
6456,6.3,0.28,0.22,9.5,0.04,30,111,0.99338,3.05,0.31,10.8,"Ouch, my palate",white
6454,5.3,0.47,0.1,1.3,0.036,11,74,0.99082,3.48,0.54,11.2,"Ouch, my palate",white
6453,5.3,0.43,0.11,1.1,0.029,6,51,0.99076,3.51,0.48,11.2,"Ouch, my palate",white
6452,6.1,0.38,0.14,3.9,0.06,27,113,0.99344,3.07,0.34,9.2,"Ouch, my palate",white
6451,6.1,0.38,0.14,3.9,0.06,27,113,0.99344,3.07,0.34,9.2,"Ouch, my palate",white
6450,6.5,0.38,0.53,1.4,0.142,5,69,0.9926,3.14,0.52,10.1,"Ouch, my palate",white
6449,6.6,0.31,0.37,6.2,0.052,13,164,0.99602,3.24,0.39,8.8,"Ouch, my palate",white
6448,6.6,0.35,0.19,10.5,0.06,15,82,0.99588,3.13,0.38,9.9,"Ouch, my palate",white
6447,6.1,1.1,0.16,4.4,0.033,8,109,0.99058,3.35,0.47,12.4,"Ouch, my palate",white
6446,6.4,0.37,0.12,5.9,0.056,6,91,0.99536,3.06,0.46,8.4,"Ouch, my palate",white
6445,6.3,0.27,0.51,7.6,0.049,35,200,0.99548,3.16,0.54,9.4,"Ouch, my palate",white
6443,7.3,0.38,0.23,6.5,0.05,18,102,0.99304,3.1,0.55,11.2,"Ouch, my palate",white
6455,5.6,0.18,0.29,2.3,0.04,5,47,0.99126,3.07,0.45,10.1,"Ouch, my palate",white
6414,6.7,0.54,0.27,7.1,0.049,8,178,0.99502,3.16,0.38,9.4,"Ouch, my palate",white
6444,6.3,0.27,0.51,7.6,0.049,35,200,0.99548,3.16,0.54,9.4,"Ouch, my palate",white
6412,8.6,0.34,0.36,1.4,0.045,11,119,0.99556,3.17,0.47,9.4,"Ouch, my palate",white
6384,6.8,0.2,0.27,1.2,0.034,19,68,0.9902,3.14,0.37,11.7,"Ouch, my palate",white
6383,7.4,0.45,0.32,7.1,0.044,17,117,0.9962,3.32,0.41,10.4,"Ouch, my palate",white
6382,6.4,0.43,0.27,1.1,0.054,5,110,0.9939,3.24,0.52,9.1,"Ouch, my palate",white
6381,9.9,1.005,0.46,1.4,0.046,34,185,0.9966,3.02,0.49,10.2,"Ouch, my palate",white
6380,7.6,0.26,0.36,1.6,0.032,6,106,0.993,3.15,0.4,10.4,"Ouch, my palate",white
6379,10,0.91,0.42,1.6,0.056,34,181,0.9968,3.11,0.46,10,"Ouch, my palate",white
6378,7.2,0.5,0,0.8,0.034,46,114,0.9932,3.19,0.34,9.2,"Ouch, my palate",white
6377,6.1,0.32,0.37,1.8,0.051,13,200,0.9945,3.49,0.44,10.5,"Ouch, my palate",white
6376,8.4,0.29,0.29,1.05,0.032,4,55,0.9908,2.91,0.32,11.4,"Ouch, my palate",white
6375,9.3,0.2,0.33,1.7,0.05,28,178,0.9954,3.16,0.43,9,"Ouch, my palate",white
6374,7,0.61,0.26,1.7,0.051,25,161,0.9946,3.36,0.6,10.6,"Ouch, my palate",white
6385,8,0.16,0.36,1.5,0.033,14,122,0.9941,3.2,0.39,10.3,"Ouch, my palate",white
6372,9,0.43,0.3,1.5,0.05,7,175,0.9951,3.11,0.45,9.7,"Ouch, my palate",white
6370,8.2,0.29,0.49,1,0.044,29,118,0.9928,3.24,0.36,10.9,"Ouch, my palate",white
6369,6.9,0.26,0.49,1.6,0.058,39,166,0.9965,3.65,0.52,9.4,"Ouch, my palate",white
6368,7.6,0.31,0.49,13.4,0.062,50,191,0.9989,3.22,0.53,9,"Ouch, my palate",white
6367,7.1,0.64,0.49,1.8,0.05,17,128,0.9946,3.31,0.58,10.6,"Ouch, my palate",white
6366,8.5,0.17,0.49,8.8,0.048,23,108,0.9947,2.88,0.34,10.5,"Ouch, my palate",white
6365,8.8,0.35,0.49,1,0.036,14,56,0.992,2.96,0.33,10.5,"Ouch, my palate",white
6364,6.2,0.43,0.49,6.4,0.045,12,115,0.9963,3.27,0.57,9,"Ouch, my palate",white
6363,7.1,0.53,0.24,0.8,0.029,29,86,0.993,3.16,0.32,9.1,"Ouch, my palate",white
6362,6.9,0.25,0.24,3.6,0.057,13,85,0.9942,2.99,0.48,9.5,"Ouch, my palate",white
6413,6.7,0.54,0.27,7.1,0.049,8,178,0.99502,3.16,0.38,9.4,"Ouch, my palate",white
6361,6.9,0.25,0.24,3.6,0.057,13,85,0.9942,2.99,0.48,9.5,"Ouch, my palate",white
6371,8.1,0.28,0.46,15.4,0.059,32,177,1.0004,3.27,0.58,9,"Ouch, my palate",white
6386,9.8,0.93,0.45,8.6,0.052,34,187,0.9994,3.12,0.59,10.2,"Ouch, my palate",white
6373,6.5,0.27,0.19,4.2,0.046,6,114,0.9955,3.25,0.35,8.6,"Ouch, my palate",white
6388,6.3,0.24,0.37,1.8,0.031,6,61,0.9897,3.3,0.34,12.2,"Ouch, my palate",white
6411,8.6,0.34,0.36,1.4,0.045,11,119,0.99556,3.17,0.47,9.4,"Ouch, my palate",white
6410,7.6,0.31,0.23,12.7,0.054,20,139,0.99836,3.16,0.5,9.7,"Ouch, my palate",white
6387,7.9,0.28,0.32,3.6,0.038,9,76,0.992,3.05,0.31,11.7,"Ouch, my palate",white
6409,7.6,0.31,0.23,12.7,0.054,20,139,0.99836,3.16,0.5,9.7,"Ouch, my palate",white
6408,6.4,0.35,0.35,5.6,0.034,9,148,0.99441,3.17,0.5,9.8,"Ouch, my palate",white
6407,6.2,0.38,0.18,7.4,0.095,28,195,0.99773,3.53,0.71,9.2,"Ouch, my palate",white
6406,7.1,0.21,0.28,2.7,0.034,23,111,0.99405,3.35,0.64,10.2,"Ouch, my palate",white
6404,7.1,0.21,0.28,2.7,0.034,23,111,0.99405,3.35,0.64,10.2,"Ouch, my palate",white
6403,9.2,0.16,0.49,2,0.044,18,107,0.99514,3.1,0.53,10.2,"Ouch, my palate",white
6402,9.2,0.19,0.42,2,0.047,16,104,0.99517,3.09,0.66,10,"Ouch, my palate",white
6401,7.6,0.21,0.35,1.2,0.041,7,106,0.9914,3.06,0.45,11.3,"Ouch, my palate",white
6400,6.9,0.3,0.3,1.3,0.053,24,186,0.99361,3.29,0.54,9.9,"Ouch, my palate",white
6405,6.3,0.38,0.17,8.8,0.08,50,212,0.99803,3.47,0.66,9.4,"Ouch, my palate",white
6399,6.9,0.3,0.29,1.3,0.053,24,189,0.99362,3.29,0.54,9.9,"Ouch, my palate",white
6398,6.4,0.27,0.19,1.9,0.085,21,196,0.99516,3.49,0.64,9.5,"Ouch, my palate",white
6397,6.4,0.27,0.19,2,0.084,21,191,0.99516,3.49,0.63,9.6,"Ouch, my palate",white
6396,6,0.33,0.18,3,0.036,5,85,0.99125,3.28,0.4,11.5,"Ouch, my palate",white
6395,7.7,0.28,0.63,11.1,0.039,58,179,0.9979,3.08,0.44,8.8,"Ouch, my palate",white
6394,6.5,0.28,0.35,9.8,0.067,61,180,0.9972,3.15,0.57,9,"Ouch, my palate",white
6393,7.5,0.26,0.59,11.8,0.046,58,164,0.99814,3.17,0.46,8.9,"Ouch, my palate",white
6392,7.5,0.29,0.26,14.95,0.067,47,178,0.99838,3.04,0.49,9.2,"Ouch, my palate",white
6391,6.4,0.34,0.2,14.9,0.06,37,162,0.9983,3.13,0.45,9,"Ouch, my palate",white
6389,7.6,0.23,0.26,15.3,0.067,32,166,0.9986,3.03,0.44,9.2,"Ouch, my palate",white
6390,6.4,0.34,0.2,14.9,0.06,37,162,0.9983,3.13,0.45,9,"Ouch, my palate",white
1636,7.6,0.3,0.4,2.2,0.054,29,175,0.99445,3.19,0.53,9.8,"Meh, table wine",white
1637,7.5,0.3,0.32,1.4,0.032,31,161,0.99154,2.95,0.42,10.5,"Meh, table wine",white
1638,7.5,0.23,0.35,17.8,0.058,128,212,1.00241,3.44,0.43,8.9,"Meh, table wine",white
1639,8.3,0.27,0.34,10.2,0.048,50,118,0.99716,3.18,0.51,10.3,"Meh, table wine",white
1640,6.8,0.26,0.22,4.8,0.041,110,198,0.99437,3.29,0.67,10.6,"Meh, table wine",white
1643,6.7,0.17,0.27,1.4,0.032,39,149,0.99254,3.4,0.52,10.5,"Meh, table wine",white
